Fruit Type,Fruit Waste (kg),Method,C:N Ratio,Time to Manure (weeks),Finished Manure (kg)
tomato,5,Vermiculture,22.97,4.9,3.27
tomato,10,Vermiculture,21.42,5.5,6.0
tomato,15,Vermiculture,21.18,5.6,9.8
tomato,20,Vermiculture,21.69,5.5,13.64
tomato,25,Vermiculture,21.83,4.9,16.72
tomato,30,Vermiculture,21.59,5.7,18.77
tomato,35,Vermiculture,23.06,5.3,19.74
tomato,40,Vermiculture,21.48,5.4,24.23
papaya,5,Composting,25.86,14.4,2.97
papaya,10,Composting,24.32,13.1,7.12
papaya,15,Composting,24.25,13.9,10.16
papaya,20,Composting,25.47,14.5,11.62
papaya,25,Composting,24.56,14.5,17.1
papaya,30,Composting,24.66,13.2,22.06
papaya,35,Composting,25.03,13.5,26.16
papaya,40,Composting,25.47,12.8,28.25
papaya,5,Vermiculture,24.94,9.6,2.74
papaya,10,Vermiculture,24.17,9.6,5.78
papaya,15,Vermiculture,25.5,9.9,7.23
papaya,20,Vermiculture,24.88,9.6,10.92
papaya,25,Vermiculture,25.25,9.4,12.13
papaya,30,Vermiculture,24.96,9.6,16.38
papaya,35,Vermiculture,24.83,9.4,18.82
papaya,40,Vermiculture,23.97,9.8,20.3
plum,5,Composting,28.06,11.3,3.22
plum,10,Composting,28.32,9.9,5.72
plum,15,Composting,29.35,10.4,7.95
plum,20,Composting,28.87,10.2,11.1
plum,25,Composting,27.99,9.8,14.78
plum,30,Composting,29.11,11.4,19.84
plum,35,Composting,26.76,9.5,22.69
plum,40,Composting,28.19,11.5,27.46
plum,5,Vermiculture,29.36,6.7,2.51
plum,10,Vermiculture,28.16,7.4,5.91
plum,15,Vermiculture,29.16,7.3,7.29
plum,20,Vermiculture,28.09,7.7,9.17
plum,25,Vermiculture,26.63,7.1,13.93
plum,30,Vermiculture,27.72,7.1,13.27
plum,35,Vermiculture,28.77,7.6,16.4
plum,40,Vermiculture,29.23,7.4,18.61
banana,5,Composting,28.69,11.4,2.81
banana,10,Composting,29.33,10.2,7.15
banana,15,Composting,29.34,10.6,9.84
banana,20,Composting,31.3,9.9,13.23
banana,25,Composting,30.74,9.5,15.0
banana,30,Composting,30.96,11.0,17.29
banana,35,Composting,29.41,11.4,21.46
banana,40,Composting,30.25,11.1,29.27
banana,5,Vermiculture,29.77,6.4,2.52
banana,10,Vermiculture,29.04,5.8,5.26
banana,15,Vermiculture,29.14,6.5,8.37
banana,20,Vermiculture,31.05,6.3,9.74
banana,25,Vermiculture,29.84,6.8,13.99
banana,30,Vermiculture,29.21,6.2,18.51
banana,35,Vermiculture,31.34,5.9,16.81
banana,40,Vermiculture,29.96,5.8,24.15
apple,5,Composting,28.68,12.1,2.91
apple,10,Composting,26.91,13.0,6.39
apple,15,Composting,28.28,12.6,10.23
apple,20,Composting,27.04,12.8,11.64
apple,25,Composting,27.89,13.7,14.54
apple,30,Composting,28.76,13.1,19.18
apple,35,Composting,26.63,12.5,21.72
apple,40,Composting,28.67,11.6,22.78
apple,5,Vermiculture,27.25,8.4,2.35
apple,10,Vermiculture,26.77,7.7,4.54
apple,15,Vermiculture,27.45,8.9,7.92
apple,20,Vermiculture,27.31,8.9,10.55
apple,25,Vermiculture,27.78,9.2,12.44
apple,30,Vermiculture,28.42,9.0,13.27
apple,35,Vermiculture,28.92,8.6,19.71
apple,40,Vermiculture,27.71,7.9,17.37
litchi,5,Composting,25.95,15.1,2.66
litchi,10,Composting,25.47,15.4,5.53
litchi,15,Composting,24.02,15.5,8.59
litchi,20,Composting,25.85,13.4,12.6
litchi,25,Composting,24.33,14.3,15.37
litchi,30,Composting,25.53,15.3,16.69
litchi,35,Composting,24.67,15.3,19.3
litchi,40,Composting,24.75,13.4,25.56
litchi,5,Vermiculture,23.85,9.9,2.49
litchi,10,Vermiculture,24.56,9.1,4.91
litchi,15,Vermiculture,25.04,9.9,8.45
litchi,20,Vermiculture,25.48,9.1,9.35
litchi,25,Vermiculture,24.06,9.0,15.08
litchi,30,Vermiculture,24.61,8.9,15.34
litchi,35,Vermiculture,23.89,9.2,18.63
litchi,40,Vermiculture,25.06,10.1,20.64
mango,5,Composting,27.29,15.7,2.66
mango,10,Composting,25.71,15.8,6.35
mango,15,Composting,27.03,16.5,7.82
mango,20,Composting,25.43,15.9,12.91
mango,25,Composting,24.76,16.7,16.35
mango,30,Composting,25.06,16.4,16.23
mango,35,Composting,25.42,16.3,18.2
mango,40,Composting,27.0,17.2,23.19
mango,5,Vermiculture,24.78,12.5,2.54
mango,10,Vermiculture,24.97,13.7,4.55
mango,15,Vermiculture,25.87,13.4,6.96
mango,20,Vermiculture,25.46,13.8,10.58
mango,25,Vermiculture,26.38,13.7,12.9
mango,30,Vermiculture,25.13,12.0,15.89
mango,35,Vermiculture,26.92,12.6,20.37
mango,40,Vermiculture,24.73,13.2,20.49
grapes,5,Composting,26.61,8.9,3.29
grapes,10,Composting,25.77,9.0,5.51
grapes,15,Composting,26.11,9.6,8.6
grapes,20,Composting,27.9,10.3,10.91
grapes,25,Composting,27.07,9.3,17.61
grapes,30,Composting,27.66,9.1,16.88
grapes,35,Composting,27.42,8.8,23.64
grapes,40,Composting,27.09,9.6,29.12
grapes,5,Vermiculture,26.15,7.4,2.36
grapes,10,Vermiculture,27.26,8.0,5.02
grapes,15,Vermiculture,25.94,6.9,7.21
grapes,20,Vermiculture,27.28,7.0,11.76
grapes,25,Vermiculture,26.15,8.0,14.84
grapes,30,Vermiculture,26.09,6.8,16.96
grapes,35,Vermiculture,26.91,7.1,17.3
grapes,40,Vermiculture,27.46,7.4,21.05
lemon,5,Composting,23.9,11.9,2.75
lemon,10,Composting,24.88,12.3,5.5
lemon,15,Composting,22.89,12.2,9.09
lemon,20,Composting,23.55,12.6,12.97
lemon,25,Composting,24.22,10.7,16.47
lemon,30,Composting,23.17,10.7,18.24
lemon,35,Composting,24.94,12.6,19.88
lemon,40,Composting,25.13,11.7,21.43
lemon,5,Vermiculture,24.76,8.3,2.94
lemon,10,Vermiculture,24.57,8.1,5.55
lemon,15,Vermiculture,24.04,8.5,7.3
lemon,20,Vermiculture,23.67,8.7,10.44
lemon,25,Vermiculture,23.09,8.7,14.38
lemon,30,Vermiculture,24.2,9.0,17.12
lemon,35,Vermiculture,24.83,7.9,20.58
lemon,40,Vermiculture,23.85,9.0,19.48
jackfruit,5,Composting,31.77,20.5,2.5
jackfruit,10,Composting,32.38,18.4,4.74
jackfruit,15,Composting,31.29,17.7,7.05
jackfruit,20,Composting,32.05,19.1,9.57
jackfruit,25,Composting,31.4,19.5,12.25
jackfruit,30,Composting,31.05,18.9,18.77
jackfruit,35,Composting,32.86,18.9,17.87
jackfruit,40,Composting,32.62,18.5,19.73
jackfruit,5,Vermiculture,32.51,14.8,2.16
jackfruit,10,Vermiculture,31.15,15.1,5.31
jackfruit,15,Vermiculture,31.36,15.2,6.91
jackfruit,20,Vermiculture,31.82,14.2,9.94
jackfruit,25,Vermiculture,32.45,13.3,13.39
jackfruit,30,Vermiculture,30.64,14.7,14.7
jackfruit,35,Vermiculture,33.33,15.5,16.31
jackfruit,40,Vermiculture,31.57,15.7,19.53
tomato,5,Composting,20.95,9.0,3.57
tomato,10,Composting,22.9,8.9,7.69
tomato,15,Composting,22.81,8.7,11.96
tomato,20,Composting,22.03,7.9,15.9
tomato,25,Composting,21.07,7.8,18.33
tomato,30,Composting,22.63,8.2,23.62
tomato,35,Composting,22.32,8.4,25.51
tomato,40,Composting,22.5,8.0,27.51
tomato,5,Vermiculture,21.79,5.0,3.28
tomato,10,Vermiculture,22.7,4.9,5.79
tomato,15,Vermiculture,22.12,4.9,8.72
tomato,20,Vermiculture,23.03,4.8,12.69
tomato,25,Vermiculture,22.93,5.3,15.32
tomato,30,Vermiculture,22.74,5.2,17.51
tomato,35,Vermiculture,20.96,5.5,21.66
tomato,40,Vermiculture,21.02,4.9,27.45
papaya,5,Composting,26.03,14.0,3.52
papaya,10,Composting,24.07,14.5,5.9
papaya,15,Composting,24.51,13.8,10.91
papaya,20,Composting,23.87,13.1,14.05
papaya,25,Composting,24.12,14.5,15.84
papaya,30,Composting,23.88,14.8,20.52
papaya,35,Composting,25.41,13.5,20.34
papaya,40,Composting,23.92,13.0,29.88
papaya,5,Vermiculture,26.1,9.8,2.94
papaya,10,Vermiculture,24.23,9.8,5.89
papaya,15,Vermiculture,24.72,9.3,7.66
papaya,20,Vermiculture,24.89,9.5,11.83
papaya,25,Vermiculture,24.61,9.6,13.48
papaya,30,Vermiculture,25.55,9.0,18.01
papaya,35,Vermiculture,25.95,9.5,17.32
papaya,40,Vermiculture,24.09,9.6,20.64
plum,5,Composting,28.69,10.1,2.65
plum,10,Composting,27.89,9.9,5.78
plum,15,Composting,28.41,9.6,8.59
plum,20,Composting,28.26,10.1,11.5
plum,25,Composting,29.08,10.9,16.3
plum,30,Composting,26.63,11.3,16.49
plum,35,Composting,26.63,10.2,20.25
plum,40,Composting,27.82,10.3,25.77
plum,5,Vermiculture,28.74,7.6,2.87
plum,10,Vermiculture,27.97,7.5,5.49
plum,15,Vermiculture,26.6,7.0,7.08
plum,20,Vermiculture,27.12,6.9,10.04
plum,25,Vermiculture,27.7,7.9,11.57
plum,30,Vermiculture,27.21,7.6,14.26
plum,35,Vermiculture,27.28,6.7,20.03
plum,40,Vermiculture,27.21,7.4,19.71
banana,5,Composting,28.77,11.1,3.25
banana,10,Composting,28.79,11.1,6.1
banana,15,Composting,29.4,10.2,10.03
banana,20,Composting,31.21,11.0,11.75
banana,25,Composting,31.43,10.1,15.76
banana,30,Composting,29.49,10.8,19.63
banana,35,Composting,30.63,10.6,24.36
banana,40,Composting,28.76,9.8,28.74
banana,5,Vermiculture,29.66,6.8,3.15
banana,10,Vermiculture,28.95,6.8,4.75
banana,15,Vermiculture,30.64,6.1,8.05
banana,20,Vermiculture,31.01,6.2,11.15
banana,25,Vermiculture,31.11,6.4,14.93
banana,30,Vermiculture,30.52,6.9,15.54
banana,35,Vermiculture,28.72,6.8,17.49
banana,40,Vermiculture,29.49,6.3,24.76
apple,5,Composting,28.09,12.1,2.76
apple,10,Composting,27.85,11.9,6.2
apple,15,Composting,27.34,11.9,10.0
apple,20,Composting,27.54,12.2,13.17
apple,25,Composting,28.36,11.6,14.65
apple,30,Composting,27.43,12.5,15.75
apple,35,Composting,26.91,11.6,22.78
apple,40,Composting,27.28,12.9,25.71
apple,5,Vermiculture,28.88,9.2,2.74
apple,10,Vermiculture,28.17,8.4,4.36
apple,15,Vermiculture,29.11,8.0,8.27
apple,20,Vermiculture,29.11,7.6,9.45
apple,25,Vermiculture,28.58,8.6,10.63
apple,30,Vermiculture,29.02,8.7,13.67
apple,35,Vermiculture,27.21,8.5,17.63
apple,40,Vermiculture,26.79,8.1,19.29
litchi,5,Composting,26.08,14.9,2.92
litchi,10,Composting,26.0,13.6,5.74
litchi,15,Composting,25.59,15.5,9.57
litchi,20,Composting,24.13,14.8,12.89
litchi,25,Composting,24.88,14.2,16.86
litchi,30,Composting,24.16,14.3,17.5
litchi,35,Composting,24.6,14.1,18.64
litchi,40,Composting,23.93,13.9,23.9
litchi,5,Vermiculture,23.79,9.9,2.5
litchi,10,Vermiculture,25.73,9.3,4.9
litchi,15,Vermiculture,25.91,10.3,8.79
litchi,20,Vermiculture,24.19,9.7,9.7
litchi,25,Vermiculture,24.4,9.5,14.21
litchi,30,Vermiculture,25.34,9.6,14.34
litchi,35,Vermiculture,26.24,9.8,16.18
litchi,40,Vermiculture,25.66,9.8,22.42
mango,5,Composting,27.29,16.4,3.16
mango,10,Composting,26.95,17.5,6.55
mango,15,Composting,26.88,16.4,7.46
mango,20,Composting,26.09,17.7,10.3
mango,25,Composting,27.18,16.2,15.89
mango,30,Composting,26.69,17.0,14.98
mango,35,Composting,25.06,17.3,22.5
mango,40,Composting,27.17,17.2,25.32
mango,5,Vermiculture,25.23,13.2,2.49
mango,10,Vermiculture,27.06,12.3,4.63
mango,15,Vermiculture,26.22,13.1,7.18
mango,20,Vermiculture,26.41,12.0,11.94
mango,25,Vermiculture,26.02,12.9,14.34
mango,30,Vermiculture,26.32,13.7,13.3
mango,35,Vermiculture,24.86,11.5,15.73
mango,40,Vermiculture,26.39,11.7,22.82
grapes,5,Composting,28.06,9.1,3.12
grapes,10,Composting,27.56,10.2,6.91
grapes,15,Composting,26.95,9.4,9.13
grapes,20,Composting,28.1,8.7,13.21
grapes,25,Composting,28.01,9.3,16.01
grapes,30,Composting,26.08,8.6,19.15
grapes,35,Composting,27.1,9.3,19.09
grapes,40,Composting,28.29,9.1,25.87
grapes,5,Vermiculture,27.3,6.8,3.08
grapes,10,Vermiculture,26.15,7.8,5.84
grapes,15,Vermiculture,26.87,7.9,8.3
grapes,20,Vermiculture,27.37,6.9,12.03
grapes,25,Vermiculture,28.16,7.9,12.11
grapes,30,Vermiculture,27.25,8.0,15.3
grapes,35,Vermiculture,25.95,7.9,17.63
grapes,40,Vermiculture,28.2,7.7,18.81
lemon,5,Composting,24.76,11.3,3.2
lemon,10,Composting,24.49,12.2,5.44
lemon,15,Composting,23.49,11.5,9.27
lemon,20,Composting,24.56,10.5,13.16
lemon,25,Composting,24.31,12.1,14.29
lemon,30,Composting,23.62,12.1,20.89
lemon,35,Composting,23.18,12.2,19.88
lemon,40,Composting,24.7,11.7,26.43
lemon,5,Vermiculture,23.47,8.5,2.46
lemon,10,Vermiculture,24.81,8.8,5.11
lemon,15,Vermiculture,23.41,7.9,7.86
lemon,20,Vermiculture,24.42,8.7,9.49
lemon,25,Vermiculture,23.93,8.9,13.28
lemon,30,Vermiculture,23.87,8.8,15.6
lemon,35,Vermiculture,24.17,8.4,15.85
lemon,40,Vermiculture,23.17,8.7,21.32
jackfruit,5,Composting,32.81,19.4,2.46
jackfruit,10,Composting,33.52,20.2,5.07
jackfruit,15,Composting,30.82,18.8,7.74
jackfruit,20,Composting,30.55,19.3,11.71
jackfruit,25,Composting,31.08,19.1,14.56
jackfruit,30,Composting,32.84,18.2,15.51
jackfruit,35,Composting,32.78,17.8,21.01
jackfruit,40,Composting,31.53,20.7,22.82
jackfruit,5,Vermiculture,32.19,14.4,2.69
jackfruit,10,Vermiculture,31.1,15.7,4.25
jackfruit,15,Vermiculture,32.09,14.0,6.52
jackfruit,20,Vermiculture,31.27,14.6,11.48
jackfruit,25,Vermiculture,30.89,15.2,13.08
jackfruit,30,Vermiculture,32.0,14.2,13.64
jackfruit,35,Vermiculture,32.62,15.1,16.08
jackfruit,40,Vermiculture,32.68,15.5,21.71
tomato,5,Composting,22.52,9.0,3.31
tomato,10,Composting,21.37,8.4,7.22
tomato,15,Composting,21.77,8.0,10.85
tomato,20,Composting,21.4,8.8,16.07
tomato,25,Composting,22.45,7.8,15.79
tomato,30,Composting,21.98,9.1,21.61
tomato,35,Composting,22.22,8.2,25.45
tomato,40,Composting,22.8,8.2,30.06
tomato,5,Vermiculture,22.28,5.3,2.72
tomato,10,Vermiculture,21.72,5.1,5.41
tomato,15,Vermiculture,21.03,5.5,8.52
tomato,20,Vermiculture,22.3,4.9,12.23
tomato,25,Vermiculture,22.81,5.0,13.91
tomato,30,Vermiculture,22.8,4.8,17.65
tomato,35,Vermiculture,22.26,5.7,22.75
tomato,40,Vermiculture,21.21,5.1,20.62
papaya,5,Composting,25.68,12.5,3.48
papaya,10,Composting,24.73,14.5,6.18
papaya,15,Composting,25.7,12.9,10.61
papaya,20,Composting,23.78,12.7,11.68
papaya,25,Composting,24.41,13.2,18.73
papaya,30,Composting,25.06,13.8,17.11
papaya,35,Composting,23.83,12.6,22.65
papaya,40,Composting,24.88,14.8,24.96
papaya,5,Vermiculture,24.15,9.6,2.57
papaya,10,Vermiculture,25.29,8.9,5.33
papaya,15,Vermiculture,25.69,9.2,7.41
papaya,20,Vermiculture,24.07,9.2,10.05
papaya,25,Vermiculture,24.68,10.3,11.86
papaya,30,Vermiculture,25.47,10.2,16.0
papaya,35,Vermiculture,24.49,9.8,17.88
papaya,40,Vermiculture,24.31,8.9,18.8
plum,5,Composting,27.34,9.8,3.32
plum,10,Composting,27.6,10.8,6.75
plum,15,Composting,27.92,11.2,9.37
plum,20,Composting,29.21,10.5,12.08
plum,25,Composting,28.12,10.0,15.6
plum,30,Composting,28.53,9.8,17.46
plum,35,Composting,27.99,9.9,22.6
plum,40,Composting,26.7,9.6,20.64
plum,5,Vermiculture,28.86,7.9,2.33
plum,10,Vermiculture,28.59,6.8,5.5
plum,15,Vermiculture,28.41,6.7,7.55
plum,20,Vermiculture,26.62,7.0,10.83
plum,25,Vermiculture,27.55,7.3,14.31
plum,30,Vermiculture,27.4,7.7,17.24
plum,35,Vermiculture,27.93,7.8,19.91
plum,40,Vermiculture,28.71,7.4,23.04
banana,5,Composting,31.4,9.8,3.14
banana,10,Composting,29.77,10.3,7.25
banana,15,Composting,30.07,10.8,8.74
banana,20,Composting,28.83,10.2,14.45
banana,25,Composting,31.28,10.4,14.35
banana,30,Composting,29.69,9.7,20.76
banana,35,Composting,28.96,9.7,19.54
banana,40,Composting,31.01,9.6,25.94
banana,5,Vermiculture,30.46,6.3,2.49
banana,10,Vermiculture,29.18,6.0,5.36
banana,15,Vermiculture,29.57,5.7,8.37
banana,20,Vermiculture,30.22,6.4,11.56
banana,25,Vermiculture,29.97,6.5,12.0
banana,30,Vermiculture,30.87,5.9,15.32
banana,35,Vermiculture,30.32,6.1,16.47
banana,40,Vermiculture,30.74,6.0,22.58
apple,5,Composting,29.23,12.5,2.97
apple,10,Composting,29.03,11.6,6.24
apple,15,Composting,27.09,11.7,10.16
apple,20,Composting,28.89,13.0,10.77
apple,25,Composting,27.79,11.8,15.24
apple,30,Composting,27.98,12.0,15.52
apple,35,Composting,27.64,12.3,19.79
apple,40,Composting,27.75,11.5,22.72
apple,5,Vermiculture,28.25,8.8,2.86
apple,10,Vermiculture,28.01,9.0,4.79
apple,15,Vermiculture,27.83,8.0,6.47
apple,20,Vermiculture,29.21,7.7,9.22
apple,25,Vermiculture,28.4,7.8,11.38
apple,30,Vermiculture,27.34,8.4,14.2
apple,35,Vermiculture,27.45,8.9,15.23
apple,40,Vermiculture,26.63,8.8,19.0
litchi,5,Composting,24.42,13.5,2.79
litchi,10,Composting,25.64,13.4,6.79
litchi,15,Composting,24.95,14.2,10.29
litchi,20,Composting,23.81,13.4,13.02
litchi,25,Composting,24.26,13.9,14.77
litchi,30,Composting,25.32,14.0,20.4
litchi,35,Composting,25.61,15.3,21.23
litchi,40,Composting,25.43,13.5,21.96
litchi,5,Vermiculture,24.24,8.7,2.38
litchi,10,Vermiculture,25.91,9.3,5.92
litchi,15,Vermiculture,25.84,9.5,8.68
litchi,20,Vermiculture,24.22,9.2,11.26
litchi,25,Vermiculture,23.95,9.2,15.08
litchi,30,Vermiculture,25.18,10.3,17.9
litchi,35,Vermiculture,24.84,9.6,18.42
litchi,40,Vermiculture,24.5,9.9,22.42
mango,5,Composting,25.43,15.4,3.09
mango,10,Composting,26.04,16.7,5.69
mango,15,Composting,24.97,17.9,8.09
mango,20,Composting,25.57,17.1,12.99
mango,25,Composting,24.99,18.3,15.93
mango,30,Composting,24.73,17.1,16.99
mango,35,Composting,26.45,17.1,17.43
mango,40,Composting,25.15,15.7,24.07
mango,5,Vermiculture,26.4,12.5,2.85
mango,10,Vermiculture,26.47,11.8,5.22
mango,15,Vermiculture,26.84,12.5,8.75
mango,20,Vermiculture,25.47,12.1,9.82
mango,25,Vermiculture,24.79,12.6,11.76
mango,30,Vermiculture,25.13,11.8,14.2
mango,35,Vermiculture,24.81,12.0,15.99
mango,40,Vermiculture,24.99,12.7,21.08
grapes,5,Composting,27.55,10.1,3.52
grapes,10,Composting,28.19,9.8,6.37
grapes,15,Composting,25.91,9.3,9.75
grapes,20,Composting,26.74,9.1,13.69
grapes,25,Composting,25.67,9.7,17.63
grapes,30,Composting,26.54,9.2,17.86
grapes,35,Composting,28.34,10.2,20.71
grapes,40,Composting,26.6,9.7,27.22
grapes,5,Vermiculture,27.84,6.7,2.73
grapes,10,Vermiculture,26.34,6.9,6.1
grapes,15,Vermiculture,26.01,7.8,7.45
grapes,20,Vermiculture,27.53,6.9,9.53
grapes,25,Vermiculture,26.95,7.8,14.28
grapes,30,Vermiculture,27.93,6.9,17.31
grapes,35,Vermiculture,27.58,7.7,19.41
grapes,40,Vermiculture,27.54,7.0,21.09
lemon,5,Composting,23.11,10.7,2.81
lemon,10,Composting,23.49,12.3,5.7
lemon,15,Composting,23.71,10.9,8.93
lemon,20,Composting,24.52,10.7,13.42
lemon,25,Composting,24.15,10.7,16.09
lemon,30,Composting,24.47,12.0,20.81
lemon,35,Composting,24.5,10.5,20.22
lemon,40,Composting,23.77,10.8,27.76
lemon,5,Vermiculture,24.22,7.8,2.81
lemon,10,Vermiculture,24.71,8.9,5.71
lemon,15,Vermiculture,23.33,9.0,7.33
lemon,20,Vermiculture,23.74,8.1,11.3
lemon,25,Vermiculture,23.64,9.1,12.62
lemon,30,Vermiculture,23.4,7.9,15.41
lemon,35,Vermiculture,25.06,8.9,16.82
lemon,40,Vermiculture,24.4,8.4,21.66
jackfruit,5,Composting,30.66,17.9,3.01
jackfruit,10,Composting,31.72,19.8,5.62
jackfruit,15,Composting,31.34,18.1,9.03
jackfruit,20,Composting,33.29,17.1,11.29
jackfruit,25,Composting,31.94,17.7,15.56
jackfruit,30,Composting,32.13,18.0,14.62
jackfruit,35,Composting,30.77,18.6,19.42
jackfruit,40,Composting,32.05,17.5,22.24
jackfruit,5,Vermiculture,31.06,15.7,2.83
jackfruit,10,Vermiculture,33.41,14.2,4.44
jackfruit,15,Vermiculture,32.56,13.5,6.81
jackfruit,20,Vermiculture,32.28,14.7,9.22
jackfruit,25,Vermiculture,31.41,15.1,11.94
jackfruit,30,Vermiculture,33.07,14.9,13.18
jackfruit,35,Vermiculture,31.25,14.2,15.57
jackfruit,40,Vermiculture,33.25,13.4,19.13
tomato,5,Composting,23.06,9.2,3.56
tomato,10,Composting,22.23,7.9,7.97
tomato,15,Composting,21.7,9.0,10.48
tomato,20,Composting,21.16,8.7,14.11
